drug_name,total_reports,analyzed_at
LETAIRIS,12
PREDNISONE,7
MIRENA,6
CEFTRIAXONE,6
METRONIDAZOLE,5
JAKAFI,5
GILENYA,5
METHOTREXATE,3
HUMIRA,3
DEPAKOTE,3
